,ID_tassonomia_1,ID_tassonomia_2,Frequenza,titoli_1_list,titoli_2_list
244,51,86,2,"['lo sportello per gli anziani digitale e sociale e il centro famiglia e minori', 'punto di ascolto']","['lo sportello per gli anziani digitale e sociale e il centro famiglia e minori', 'punti di ascolto']"
98,18,11,2,"['adesione si servizi sovracomunali', 'politiche giovanili']","['tavolo delle politiche giovanili', 'adesione ai servizi sovracomunali']"
582,117,56,2,"['percorsi informativi progetto didattico ega te cuna acqua bambina', 'trentino pedala']","['percorsi informativi progetto percorso didattico denominato ega te cuna acqua bambina', 'progetto trentino pedala']"
251,52,68,2,"['laboratori per la scuola secondaria', 'informazione e formazione per adulti corsi di informatica']","['laboratori per la scuola secondaria', 'informazione e formazione per adulti corsi di inglese']"
253,52,89,2,"['adesione ai servizi sovracomunali cittadinanza digitale', 'adesine ai servizi sovracomunali cittadinanza digitale']",['adesione ai servizi sovracomunali dipende da noi']
580,116,117,2,['little free library riccomassimo'],['little free library']
256,54,1,2,"['momenti formativi e informativi sulle tematiche familiari', 'progetto destinazione famiglia']","['progetto destinazione famiglia', 'momenti informativi formativi sulle tematiche familiari']"
95,17,196,2,['costumer satisfaction servizio gandalf'],['costumer satisfaction servizio gandalf']
110,21,90,2,"['gestione dei rifiuti', 'per la gestione dei rifiuti']","['gestione rifiuti', 'gestione dei rifiuti per persone anziane']"
622,134,121,2,['fruizione dell ambulatorio comunale'],['fruizione ambulatorio comunale']
621,134,114,2,['ambiente qualit della vita sicurezza infrastrutture family'],['ambiente qualit della vita sicurezza infrastrutture family']
194,30,5,2,['agevolazione per i servizi tariffe contributi'],['agevolazione per i servizi tariffe contributi']
151,28,56,2,"['family green primiero', 'attivit organizzate per bambini e ragazzi']","['attivit organizzate per ragazzi', 'family green primiero']"
611,131,82,2,"['progetto api co', 'progetto a p i c o']",['progetto api c o']
613,131,114,2,['ambiente qualit della vita sicurezza infrastrutture family'],['ambiente qualit della vita sicurezza infrastrutture family']
140,26,196,2,"['prosecuzione collaborazione con l istituto comprensivo val rendena', 'scuola materna equiparata e scuola elementare']","['prosecuzione collaborazione con l istituto comprensivo val rendena', 'scuola materna equiparata e scuola elementare']"
158,28,90,2,"['area servizi alla persona e alla famiglia contributi estivi', 'area servizi alla persona e alla famiglia anziani']",['area servizi alla persona e alla famiglia anziani']
609,131,70,2,"['progetto parco fluviale', 'parco fluviale']","['progetto parco fluviale', 'parco fluviale']"
163,28,196,2,"['borse di studio prof valentino giacomuzzi e fondazione carlo tava', 'teatro s marco scuola dell infanzia']","['teatro san marco scuola dell infanzia', 'borse di studio prof valentino giacomuzzi e fondazione carlo tava']"
138,26,117,2,['servizio piedibus'],['servizio piedibus']
166,29,21,2,"['sale e attrezzature comunali', 'edilizia abitativa agevolata']","['edilizia abitativa agevolata', 'sale e attrezzature']"
134,26,90,2,['attivit estive'],['attivit estive']
606,131,57,2,['dossi artificiali e semaforo'],['dossi artificiali']
605,131,56,2,['assegnazione di orti comunali'],['assegnazione di orti comunali']
