,ID_tassonomia_1,ID_tassonomia_2,Frequenza,titoli_1_list,titoli_2_list
318,58,64,8,"['progetto sociale azione', 'svolgimento di tirocini formativi', 'community care informagiovani', 'area community care centro servizi giovani', 'svolgimento tirocini formativi', 'area community care officine fratti', 'tirocini formativi']","['community care centro servizi giovani', 'area community care informagiovani', 'progetto sociale azione', 'svolgimento tirocini formativi', 'community care officine fratti']"
156,28,73,8,"['voucher sportivo', 'attivit invernali', 'prosecuzione collaborazione con l associazione pro loco bolbeno', 'scuola e palestra comunale']","['voucher sportivo', 'palestra comunale', 'attivit invernali', 'prosecuzione collaborazione con l associazione pro loco bolbeno']"
187,29,90,8,"['fondo di solidariet', 'interventi economici politiche tariffarie contributi agli oratori', 'area interventi economici politiche tariffarie contributi agli oratori', 'promozione di pratiche solidaristiche e reti familiari', 'servizio socio assistenziale', 'promozione di pratiche solidaristiche reti familiari']","['fondo di solidariet', 'area interventi economici politiche tariffarie pasti a domicilio', 'promozione di pratiche solidaristiche e reti familiari', 'servizio socio assistenziale']"
55,9,110,8,"['progetto dal vicinato alla comunit', 'dal vicinato alla comunita', 'progetto la citt in visibile', 'comitato di supporto tra mamme']","['progetto la citt in visibile', 'creazione di un comitato di supporto tra le mamme', 'dal vicinato alla comunit']"
475,89,54,8,"['evento informativo sulla violenza alle donne', 'adesione ai servizi sovracomunali evento formativo e informativo sul gioco d azzardo', 'serate su temi sociali', 'servizio dipendenze e famiglia', 'interventi e servizi di carattere didattico educativo e formativo iniziative volte alla sensibilizzazione sul tema della ludopatia', 'interventi e servizi di carattere didattico educativo e formativo tema della ludopatia', 'adesione ai servizi sovracomunali evento formativo e informativo sul gioco dazzardo', 'progetto benessere famigliare']","['servizio dipendenze e famiglia', 'interventi e servizi di carattere didattico educativo e formativo tutela delle donne', 'evento informativo sulla violenza di genere', 'serate su temi specifici', 'interventi e servizi di carattere didattico educativo e formativo iniziative volte alla tutela delle donne', 'progetto benessere famigliare', 'adesione ai servizi sovracomunali evento formativo e informativo sulla violenza alle donne']"
72,16,1,8,"['progetto destinazione famiglia', 'promozione di iniziative di sostegno alleconomia familiare', 'assemblee associazioni', 'assemblee frazionali']","['progetto destinazione famiglia', 'promozione di iniziative di sostegno all economia familiare', 'assemblee associazioni', 'assemblee frazionali']"
71,12,16,8,"['partecipazione delle famiglie nelle decisioni politico amministrative', 'consulta tecnica della famiglia', 'consultazione delle famiglie', 'consulta della famiglia']","['partecipazione delle famiglie nelle decisioni politico amministrative', 'consultazione delle famiglie', 'consulta della famiglia']"
496,92,62,8,"['servizio volontariato europeo', 'servizio volontario europeo', 'gemellaggio con daun d', 'gemellaggio con il burundi', 'progetto aiesec il mondo in casa']","['gemellaggio con il burundi', 'progetto aiesec il mondo in casa', 'servizio volontario europeo', 'gemellaggio con daun']"
640,196,63,8,"['progetto cittadini si nasce o si diventa', 'la storia siamo noi', 'c progetto teen age', 'progetto rescue giovani', 'comunit educante', 'piano giovani paganella']","['progetto cittadini si nasce o si diventa', 'la storia siamo noi', 'progetto rescue giovani', 'comunit educante', 'progetto teen age', 'piano giovani paganella']"
387,65,196,8,"['festa dei nonni', 'attivit ludico ricreative per bambini e genitori', 'attivita con la scuola materna e primaria', 'attivit con la scuola materna e primaria', 'aspettando le giovenche', 'attivit ludico ricreative per bambini e ragazzi']","['attivit ludico ricreative per bambini e ragazzi estate ragazzi', 'aspettando le giovenche', 'festa dei maggiorenni', 'attivit con la scuola primaria', 'attivit ludico ricreative per bambini e ragazzi']"
