,ID_tassonomia,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo,Frequenza della combinazione nell'intero dataset,Numero di organizzazioni che ne hanno fatto uso nel dataset
171,11630824,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,25,4
169,11630769,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,25,10
167,11630781,D,Comunitа educante,8.0,Formazione,26,7
166,11630772,B,Misure economiche,4.0,Agevolazioni e contributi,27,5
164,11630827,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,27,8
162,11630707,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,27,5
165,11630816,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,27,7
163,11630764,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,27,9
161,11630733,B,Misure economiche,5.0,Benefit e scontistica,27,4
160,11630775,B,Misure economiche,4.0,Agevolazioni e contributi,28,8
158,11630729,D,Comunitа educante,8.0,Formazione,28,3
157,11630732,C,Informazione e comunicazione,6.0,Comunicazione,28,4
159,28344996,B,Misure economiche,5.0,Benefit e scontistica,28,13
153,11630767,C,Informazione e comunicazione,6.0,Comunicazione,29,7
155,11630783,D,Comunitа educante,8.0,Formazione,29,9
156,11630799,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,29,3
154,11630768,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,29,7
152,11630776,B,Misure economiche,4.0,Agevolazioni e contributi,29,7
150,11630797,D,Comunitа educante,8.0,Formazione,30,10
149,11630767,B,Misure economiche,4.0,Agevolazioni e contributi,30,10
151,11630762,B,Misure economiche,4.0,Agevolazioni e contributi,30,9
146,11630761,B,Misure economiche,5.0,Benefit e scontistica,31,8
147,11630770,D,Comunitа educante,8.0,Formazione,31,7
148,11630801,D,Comunitа educante,8.0,Formazione,31,5
145,11630770,D,Comunitа educante,7.0,Ascolto,32,7
144,11630804,D,Comunitа educante,7.0,Ascolto,32,9
142,11630802,D,Comunitа educante,7.0,Ascolto,33,7
140,11630752,C,Informazione e comunicazione,6.0,Comunicazione,33,8
141,11630770,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,33,7
143,11630776,D,Comunitа educante,7.0,Ascolto,33,6
