,ID_tassonomia,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo,Frequenza della combinazione nell'intero dataset,Numero di organizzazioni che ne hanno fatto uso nel dataset
408,28345013,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,3,2
443,11630742,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,3,1
411,90000002,B,Misure economiche,4.0,Agevolazioni e contributi,3,1
435,11630757,B,Misure economiche,5.0,Benefit e scontistica,3,3
409,11630813,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,3,1
414,11630815,B,Misure economiche,5.0,Benefit e scontistica,3,1
427,11630767,D,Comunitа educante,8.0,Formazione,3,1
442,11630798,C,Informazione e comunicazione,6.0,Comunicazione,3,1
444,11630798,B,Misure economiche,4.0,Agevolazioni e contributi,3,2
425,11630790,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,3,1
441,11630800,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,3,2
437,11630730,B,Misure economiche,5.0,Benefit e scontistica,3,1
431,11630783,B,Misure economiche,5.0,Benefit e scontistica,3,1
429,11630779,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,3,1
433,11630735,B,Misure economiche,5.0,Benefit e scontistica,3,1
434,11630777,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,3,1
439,11630804,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,3,1
438,11630804,C,Informazione e comunicazione,6.0,Comunicazione,3,1
419,11630785,D,Comunitа educante,7.0,Ascolto,3,2
436,11630805,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,3,1
416,90000004,C,Informazione e comunicazione,6.0,Comunicazione,3,1
417,11630810,D,Comunitа educante,8.0,Formazione,3,1
421,11630772,D,Comunitа educante,7.0,Ascolto,3,1
373,11630812,C,Informazione e comunicazione,6.0,Comunicazione,4,1
398,11630793,B,Misure economiche,5.0,Benefit e scontistica,4,2
385,44333547,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,4,4
377,11630798,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,4,1
376,11630792,D,Comunitа educante,7.0,Ascolto,4,1
