,Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
39,138,persone_intervento_anziani_lavori_socialmente,"[17, 27, 44]",44,disabilitа_disabili_persone_indipendente_autismo,108,persone_intervento_anziani_lavori_socialmente,0.8476229462347303
38,137,giovani_famiglia_comune_famiglie_piano,"[2, 3, 4, 5, 8, 9, 10, 23, 26]",114,giovani_famiglia_comune_piano_distretto,127,servizio_scuole_scuola_infanzia_scolastico,0.8447004414664492
37,136,creativi_natale_laboratori_babbo_natalizio,"[45, 51]",51,natale_babbo_natalizio_eventi_pasqua,45,creativi_laboratori_laboratorio_burro_bambini,0.8445331550613333
36,135,covid_prenotazione_resta_19_passo,"[79, 91]",79,resta_passo_emergenza_casa_covid,91,covid_prenotazione_vaccino_vaccinazione_vaccinale,0.8217787897294492
35,134,sci_ski_pass_palestra_agevolato,"[47, 60]",60,sci_ginnastica_palestra_coste_bolbeno,47,ski_pass_sci_agevolato_stagionale,0.8196227731000767
34,133,levico_terme_da_ripropone_alleggerire,"[76, 93]",93,alleggerire_stabilire_visite_minori_benne,76,levico_terme_da_ripropone_pomeriggi,0.8171507401790383
33,132,mobilitа_stradale_sicurezza_ricarica_bike,"[22, 38]",38,ricarica_bike_colonnine_mobilitа_elettriche,22,stradale_sicurezza_pedibus_strade_attraversamenti,0.8154551072910294
32,131,lingua_madrelingua_inglese_lingue_tedesco,"[50, 63]",63,straniere_integrazione_stranieri_italiana_corsi,50,lingua_madrelingua_inglese_tedesco_lingue,0.8121985122804711
31,130,telegram_whatsapp_sms_facebook_canale,"[69, 77, 92]",122,telegram_sms_canale_social_implementazione,77,whatsapp_facebook_tasca_notizie_segnalare,0.8115576938003984
30,129,uffici_apertura_orario_comunali_orari,"[20, 43]",43,suggerimenti_cassetta_reclami_ascolto_sportello,20,uffici_apertura_orario_comunali_orari,0.8099687021189339
29,128,emas_certificazione_ambientale_ambientali_regolamento,"[41, 94]",41,emas_certificazione_ambientali_ambientale_sistema,94,regolamenti_camini_regolamento_fumarie_canne,0.8069205953042644
28,127,servizio_scuole_scuola_infanzia_scolastico,"[8, 23, 26]",26,civile_universale_cittadinanza_scup_progetti,105,scuole_servizio_scuola_infanzia_scolastico,0.8060207281509334
27,126,biblioteca_giochi_lettura_parco_sport,"[0, 1, 6, 12, 15]",107,giochi_parco_sport_sportive_parchi,117,biblioteca_lettura_libri_teatro_leggere,0.8041193835595947
26,125,stage_studenti_madonna_stagisti_campiglio,"[54, 90]",54,stage_madonna_campiglio_pinzolo_studenti,90,stagisti_tirocinanti_studenti_accoglienza_superiori,0.7984002841544433
25,124,azzardo_dipendenze_ludopatia_gioco_slot,"[24, 61]",24,azzardo_dipendenze_gioco_ludopatia_slot,61,laghi_valle_chiamo_comuni_ludopatia,0.7930139167580026
24,123,bonus_bebи_gas_elettrica_energia,"[74, 84]",74,bonus_bebи_nascita_buono_figlio,84,gas_elettrica_bonus_energia_naturale,0.7758046755641852
23,122,telegram_sms_canale_social_implementazione,"[69, 92]",92,implementazione_social_quant_gruppi_reale,69,telegram_sms_canale_riguardano_comunicazioni,0.7724162273912891
22,121,family_audit_marchio_certificazioni_premianti,"[21, 96]",21,family_audit_certificazioni_premianti_certificazione,96,serata_marchio_informativa_ricadute_significato,0.7720279290701332
21,120,digitale_tecnologie_digitali_internet_media,"[29, 64]",64,internet_mlol_accesso_ebook_biblioteca,29,digitale_tecnologie_digitali_informatica_media,0.7576776387551865
20,119,passeggiate_sentieri_percorso_mappatura_percorsi,"[34, 35]",34,passeggiate_sentieri_mappatura_family_percorsi,35,percorso_sentiero_sentieri_ripristino_sentieristica,0.7370746536373842
19,118,legna_alloggi_ardere_casa_imis,"[19, 75]",19,legna_alloggi_ardere_casa_edilizia,75,imis_comodato_parenti_residenza_estende,0.7283809880627072
18,117,biblioteca_lettura_libri_teatro_leggere,"[1, 6, 12]",112,teatro_musicale_musica_teatrale_spettacoli,1,biblioteca_lettura_libri_leggere_nati,0.7216935867073684
17,116,conciliazione_estivo_tempi_asilo_lavoro,"[55, 57]",57,estivo_asilo_calendarizzazione_custodia_efficace,55,conciliazione_lavoro_tempi_dipendenti_vita,0.7063335243128809
16,115,violenza_genere_donne_prevenzione_donna,"[7, 36]",7,violenza_genere_donne_donna_sensibilizzazione,36,salute_prevenzione_lilt_tumori_rosa,0.703804910407325
15,114,giovani_famiglia_comune_piano_distretto,"[2, 3, 4, 5, 9, 10]",111,giovani_piano_comune_anni_genitori,101,famiglia_distretto_family_famiglie_politiche,0.7033757888699468
